Payment Number,Debt Remaining Before Payment,Interest to be Paid,Payment,Principle Reduced,Debt Remaining After Payment
1,5000.0,20.547945205479454,100.0,79.45205479452055,4920.54794520548

2,4920.54794520548,20.221429911803344,100.0,79.77857008819666,4840.769375117283

3,4840.769375117283,19.89357277445459,100.0,80.10642722554542,4760.6629478917375

4,4760.6629478917375,19.564368279007144,100.0,80.43563172099286,4680.227316170744

5,4680.227316170744,19.233810888372926,100.0,80.76618911162707,4599.461127059118

6,4599.461127059118,18.901895042708706,100.0,81.0981049572913,4518.363022101827

7,4518.363022101827,18.568615159322576,100.0,81.43138484067742,4436.931637261149

8,4436.931637261149,18.233965632580066,100.0,81.76603436741993,4355.16560289373

9,4355.16560289373,17.897940833809848,100.0,82.10205916619014,4273.06354372754

10,4273.06354372754,17.56053511120907,100.0,82.43946488879092,4190.624078838749

11,4190.624078838749,17.221742789748284,100.0,82.77825721025172,4107.845821628497

12,4107.845821628497,16.88155817107602,100.0,83.11844182892398,4024.727379799573

13,4024.727379799573,16.539975533422904,100.0,83.4600244665771,3941.267355332996

14,3941.267355332996,16.196989131505465,100.0,83.80301086849454,3857.4643444645017

15,3857.4643444645017,15.85259319642946,100.0,84.14740680357053,3773.316937660931

16,3773.316937660931,15.506781935592869,100.0,84.49321806440713,3688.823719596524

17,3688.823719596524,15.159549532588455,100.0,84.84045046741154,3603.983269129112

18,3603.983269129112,14.810890147105942,100.0,85.18910985289406,3518.794159276218

19,3518.794159276218,14.460797914833774,100.0,85.53920208516622,3433.2549571910517

20,3433.2549571910517,14.109266947360489,100.0,85.89073305263952,3347.3642241384123

21,3347.3642241384123,13.75629133207567,100.0,86.24370866792432,3261.120515470488

22,3261.120515470488,13.401865132070501,100.0,86.5981348679295,3174.5223806025588

23,3174.5223806025588,13.045982386037915,100.0,86.95401761396208,3087.5683629885966

24,3087.5683629885966,12.688637108172315,100.0,87.31136289182768,3000.257000096769

25,3000.257000096769,12.329823288068916,100.0,87.67017671193108,2912.5868233848378

26,2912.5868233848378,11.969534890622622,100.0,88.03046510937737,2824.5563582754603

27,2824.5563582754603,11.60776585592655,100.0,88.39223414407346,2736.164124131387

28,2736.164124131387,11.244510099170084,100.0,88.75548990082991,2647.408634230557

29,2647.408634230557,10.879761510536536,100.0,89.12023848946346,2558.288395741093

30,2558.288395741093,10.513513955100384,100.0,89.48648604489962,2468.8019096961934

31,2468.8019096961934,10.145761272724084,100.0,89.85423872727591,2378.9476709689175

32,2378.9476709689175,9.776497277954457,100.0,90.22350272204554,2288.724168246872

33,2288.724168246872,9.405715759918653,100.0,90.59428424008135,2198.1298840067907

34,2198.1298840067907,9.033410482219688,100.0,90.9665895177803,2107.1632944890102

35,2107.1632944890102,8.65957518283155,100.0,91.34042481716845,2015.8228696718418

36,2015.8228696718418,8.28420357399387,100.0,91.71579642600614,1924.1070732458356

37,1924.1070732458356,7.907289342106175,100.0,92.09271065789383,1832.0143625879418

38,1832.0143625879418,7.52882614762168,100.0,92.47117385237831,1739.5431887355635

39,1739.5431887355635,7.148807624940673,100.0,92.85119237505933,1646.6919963605042

40,1646.6919963605042,6.767227382303442,100.0,93.23277261769655,1553.4592237428076

41,1553.4592237428076,6.384079001682772,100.0,93.61592099831722,1459.8433027444903

42,1459.8433027444903,5.999356038675988,100.0,94.00064396132402,1365.8426587831664

43,1365.8426587831664,5.613052022396575,100.0,94.38694797760343,1271.4557108055628

44,1271.4557108055628,5.2251604553653275,100.0,94.77483954463467,1176.6808712609281

45,1176.6808712609281,4.835674813401075,100.0,95.16432518659893,1081.5165460743292

46,1081.5165460743292,4.444588545510943,100.0,95.55541145448906,985.9611346198401

47,985.9611346198401,4.051895073780165,100.0,95.94810492621984,890.0130296936203

48,890.0130296936203,3.657587793261454,100.0,96.34241220673854,793.6706174868817

49,793.6706174868817,3.261660071863898,100.0,96.7383399281361,696.9322775587457

50,696.9322775587457,2.864105250241421,100.0,97.13589474975858,599.7963828089871

51,599.7963828089871,2.464916641680769,100.0,97.53508335831923,502.2612994506679

52,502.2612994506679,2.0640875319890464,100.0,97.93591246801095,404.32538698265694

53,404.32538698265694,1.6616111793807822,100.0,98.33838882061922,305.9869981620377

54,305.9869981620377,1.2574808143645386,100.0,98.74251918563546,207.24447897640226

55,207.24447897640226,0.8516896396290505,100.0,99.14831036037094,108.09616861603132

56,108.09616861603132,0.4442308299288959,100.0,99.5557691700711,8.540399445960219

57,8.540399445960219,0.03509753196969953,100.0,99.9649024680303,-91.42450302207008

Total payments:,58,Days in repayment:,870,Months in repayment:,28,Years in repayment:,2.3333333333333335
